Sample_ID,dataset,coding,backend,steps,hidden,delta,sample 14628,sample 48598,sample 16049,sample 7296,sample 35741,sample 41905,sample 48540,sample 6717,sample 58469,sample 48265,sample 44348,sample 18024,sample 1639,sample 9144,rob. 14628,rob. 48598,rob. 16049,rob. 7296,rob. 35741,rob. 41905,rob. 48540,rob. 6717,rob. 58469,rob. 48265,rob. 44348,rob. 18024,rob. 1639,rob. 9144
01261834,mnist,latency,np-bab,256,128,"delta(2,)",90.0494647026062,83.85860824584961,11.743783712387085,0.012561559677124023,116.89153361320496,58.034746170043945,153.36328983306885,67.90054702758789,188.0259780883789,139.99598240852356,108.79850459098816,0.05044674873352051,0.018918752670288086,110.06416606903076,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Not robust,Robust
01230148,mnist,latency,np,48,512,"delta(2,)",666.6571707725525,614.6260044574738,579.0138068199158,623.9057478904724,632.7427203655243,9.836010217666626,0.21376991271972656,633.8715715408325,633.2694787979126,640.433723449707,607.1491482257843,565.6978347301483,626.7572226524353,663.0199224948883,Robust,Robust,Robust,Robust,Robust,Not robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08121246,mnist,latency,np,256,512,"delta(1,)",24.065593481063843,25.625917434692383,17.346406936645508,23.506776094436646,29.22845458984375,16.553302764892578,29.7972252368927,23.985424280166626,31.664265155792236,15.793320417404175,25.086424112319946,20.638317823410034,25.19895362854004,20.872156381607056,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08121048,fmnist,latency,np,5,14,"delta(1,)",0.0009903907775878906,0.0010933876037597656,0.17251873016357422,0.1698603630065918,0.0010058879852294922,0.001562356948852539,0.16346335411071777,0.00139617919921875,0.18697857856750488,0.0009746551513671875,0.0009596347808837891,0.21596789360046387,0.16759014129638672,0.0009355545043945312,Not robust,Not robust,Robust,Robust,Not robust,Not robust,Robust,Not robust,Robust,Not robust,Not robust,Robust,Robust,Not robust
08110738,fmnist,baseline,z3,6,20,"delta(1,)",inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
01261850,mnist,latency,np-bab,192,512,"delta(2,)",231.0615577697754,221.946298122406,28.78053069114685,163.53596019744873,105.77072596549988,160.86653661727905,409.20460391044617,164.26426672935486,316.16316533088684,133.8989360332489,149.279066324234,122.3083016872406,162.5571768283844,291.4624638557434,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
01222338,mnist,latency,np-psm,16,512,"delta(2,)",804.1165413856506,719.8622436523438,164.24870014190674,628.981981754303,651.3261358737946,576.937008857727,35.28096866607666,687.5980334281921,681.398574590683,656.2738165855408,182.23528480529785,621.3211631774902,661.2924926280975,754.6291661262512,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
01241835,mnist,latency,np-bab,64,256,"delta(2,)",48.12103772163391,33.395973682403564,16.54954242706299,31.397085428237915,16.25190544128418,18.2713406085968,0.3455510139465332,28.41088080406189,13.001281499862671,45.99054980278015,17.122983694076538,22.475980043411255,19.149952173233032,51.16236400604248,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust
08141442,mnist,latency,np,256,384,"delta(2,)",1261.2954828739166,2083.3887462615967,1270.1734936237335,1847.1809170246124,1026.8904662132263,1964.9357533454895,0.01344609260559082,1238.7390134334564,1371.687688589096,1450.4252009391785,1334.0582101345062,1309.4930975437164,1911.0564131736755,1591.4699161052704,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
06130704,mnist,latency,z3,5,16,"delta(1,)",15673.949728250504,18289.631128787994,905.8695006370544,15628.572525501251,17281.009723186493,15006.757269859314,981.3826267719269,6816.532527208328,19615.49568605423,881.9302608966827,11232.928394794464,20885.596031188965,11691.392390012741,11460.499078512192,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Not robust,Robust
08152154,fmnist,latency,z3,5,14,"delta(1,)",2745.7561826705933,15049.135482788086,2974.443621635437,9144.835705518723,2414.81276512146,3484.3568058013916,11371.254893302917,6506.836717128754,1203.83771443367,1229.4222702980042,7410.5940990448,12202.66994690895,2992.3667047023773,4521.785943508148,Robust,Not robust,Robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Robust,Not robust,Robust,Robust,Not robust
01241753,mnist,latency,np-psm,64,512,"delta(2,)",54.680333614349365,0.11852765083312988,29.43650221824646,46.24486207962036,49.63841652870178,27.59488534927368,37.6696879863739,42.8402259349823,1.0355145931243896,36.59073519706726,34.58477210998535,41.92159938812256,0.022095203399658203,71.11662101745605,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Not robust,Robust
08310513,mnist,latency,milp,5,12,"delta(2,)",12.2976851463318,10.130268573761,15.7596023082733,9.9048342704773,7.1372604370117,13.61066365242,6.3779680728912,8.0818901062012,11.0886783599854,28.1044673919678,74.3549199104309,77.1024940013885,10.11550116539,11.519807100296,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Not robust,Not robust,Robust,Robust,Not robust,Robust
10171953,mnist,latency,milp,5,18,"delta(1,)",2.4125652313232,2.8842594623566,1.0474548339844,0.8473782539368,0.844794511795,0.9091753959656,1.6500253677368,0.8968274593353,1.2543592453003,1.1904032230377,1.2874486446381,0.8748090267181,0.8516085147858,1.7665629386902,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
01270205,mnist,latency,np,64,512,"delta(2,)",770.074235200882,0.6808633804321289,681.5643658638,726.1165704727173,740.5114259719849,722.8582239151001,775.4694976806641,742.1004981994629,1.6308557987213135,748.759503364563,734.401308298111,687.3391523361206,0.008142232894897461,803.435314655304,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Not robust,Robust
